TransactionId,Date,Category,Product,Region,Quantity,UnitPrice
T00001,2024-07-25,Home,Mixer,South,3,178.44
T00002,2024-07-27,Sports,Bat,South,7,449.69
T00003,2024-08-24,Books,Textbook,East,1,414.77
T00004,2024-03-06,Electronics,Monitor,West,9,679.92
T00005,2024-01-05,Books,Magazine,West,2,1459.59
T00006,2024-02-07,Sports,Ball,South,5,727.65
T00007,2024-01-15,Clothing,Hat,East,10,1442.13
T00008,2024-05-31,Electronics,Laptop,South,1,1143.84
T00009,2024-03-18,Clothing,Jeans,West,7,1019.95
T00010,2024-03-06,Books,Magazine,East,6,1495.59
T00011,2024-03-05,Sports,Bat,East,6,1725.54
T00012,2024-09-11,Electronics,Laptop,South,2,1873.19
T00013,2024-05-10,Clothing,Jeans,East,10,183.95
T00014,2024-02-11,Clothing,T-Shirt,North,1,933.93
T00015,2024-01-14,Sports,Ball,South,5,349.7
T00016,2024-04-03,Home,Vacuum,South,8,1976.01
T00017,2024-10-16,Books,Magazine,West,2,1380.78
T00018,2024-03-17,Clothing,Hat,South,8,1231.38
T00019,2024-02-28,Clothing,Jacket,East,6,376.46
T00020,2024-08-21,Electronics,Keyboard,North,3,1944.55
T00021,2024-12-08,Books,Comic,North,8,1961.97
T00022,2024-03-13,Clothing,Jeans,North,5,1931.37
T00023,2024-07-02,Home,Lamp,South,4,1722.05
T00024,2024-04-25,Clothing,Socks,South,2,887.51
T00025,2024-02-18,Clothing,Socks,North,2,163.06
T00026,2024-04-06,Home,Mixer,North,8,1990.45
T00027,2024-06-28,Electronics,Monitor,West,10,1122.63
T00028,2024-06-07,Home,Blender,North,8,1150.69
T00029,2024-08-02,Home,Mixer,North,9,1010.11
T00030,2024-09-02,Home,Blender,West,7,798.57
T00031,2024-01-15,Books,Cookbook,West,6,148.0
T00032,2024-07-10,Clothing,Jeans,East,2,631.33
T00033,2024-06-13,Electronics,Headphones,East,7,764.64
T00034,2024-12-13,Sports,Racket,South,2,1571.95
T00035,2024-07-07,Clothing,Hat,South,10,1255.24
T00036,2024-05-06,Electronics,Keyboard,East,4,1685.92
T00037,2024-08-08,Clothing,Jacket,South,8,290.45
T00038,2024-11-11,Home,Mixer,South,5,1852.14
T00039,2024-02-15,Clothing,T-Shirt,South,6,1654.51
T00040,2024-03-19,Sports,Jersey,East,10,1432.6
T00041,2024-02-24,Home,Vacuum,North,5,1274.7
T00042,2024-05-24,Home,Mixer,North,2,526.41
T00043,2024-06-13,Electronics,Headphones,East,6,1521.7
T00044,2024-07-15,Books,Comic,South,8,1279.99
T00045,2024-01-18,Clothing,Jacket,East,10,1538.4
T00046,2024-05-03,Home,Blender,North,5,1435.17
T00047,2024-09-13,Clothing,Hat,North,4,1688.25
T00048,2024-10-21,Clothing,Jacket,South,6,794.4
T00049,2024-07-21,Home,Toaster,North,5,424.57
T00050,2024-12-09,Books,Magazine,North,9,931.05
T00051,2024-01-15,Books,Cookbook,South,9,1069.15
T00052,2024-05-06,Home,Vacuum,South,4,1720.91
T00053,2024-12-30,Clothing,Jeans,West,1,660.82
T00054,2024-12-29,Clothing,Jeans,East,3,265.11
T00055,2024-06-30,Electronics,Laptop,East,10,22.02
T00056,2024-10-17,Clothing,T-Shirt,East,6,1939.25
T00057,2024-03-13,Home,Blender,North,5,1577.73
T00058,2024-05-20,Books,Comic,South,6,364.82
T00059,2024-10-01,Books,Cookbook,West,1,392.66
T00060,2024-06-18,Sports,Racket,West,8,561.53
T00061,2024-10-21,Electronics,Monitor,North,8,759.61
T00062,2024-07-05,Sports,Net,South,5,693.9
T00063,2024-07-23,Books,Textbook,East,2,1250.94
T00064,2024-04-16,Sports,Net,West,9,1939.78
T00065,2024-07-31,Books,Textbook,West,10,1252.71
T00066,2024-03-16,Clothing,Jacket,West,7,1195.64
T00067,2024-09-21,Sports,Racket,West,8,567.0
T00068,2024-08-04,Home,Toaster,East,3,494.03
T00069,2024-07-26,Books,Novel,East,7,1651.46
